id;name;x;y;group;volume
1309;O Coturro;532026;4675603;7;1456
1310;Monte Vixiador;529035;4677770;5;496
1369;Rumeo;535184;4679993;8;460
1364;Monte Taxugueiras;536531;4682290;8;402
1331;As Pereiras;527598;4669880;3;400
1334;As Pereiras;527412;4669480;3;393
1296;Chan de Prado;525028;4661902;1;341
1368;Rumeo;535271;4680021;8;330
2104;Coto de Gran;532220;4677699;7;306
1366;Monte Taxugueiras;536575;4682348;8;300
1550;Seoane;524308;4668131;3;299
1347;As Xunqueiras;526220;4669031;3;288
2102;Os valos;532710;4677111;7;287
1272;Monte Penide;529988;4679568;5;285
1268;Monte Penide;530112;4679627;5;273
1271;Monte Penide;530151;4679641;5;265
1267;Monte Penide;530118;4679589;5;261
2105;Galleiro;536959;4678398;8;249
1269;Monte Penide;530073;4679631;5;246
1547;O Queimado;529070;4678318;5;246
1549;Seoane;524617;4668071;3;240
2108;Barros;537547;4682041;8;239
2116;Devesa do Rei;531480;4664880;4;237
2106;Galleiro;536896;4678363;8;227
1265;Monte Penide;530079;4679538;5;220
1289;Monte Penide;530117;4678524;5;204
1263;Monte Penide;530114;4679443;5;200
2103;Os valos;532751;4677035;7;199
1362;Monte de Espiñeiro;536173;4685147;8;198
1338;As Pereiras;527083;4669042;3;196
1305;Cotogrande;529361;4674023;6;192
1346;As Xunqueiras;526198;4669202;3;176
1312;Monte Vixiador;527543;4677700;5;173
1359;Rego Novo;536568;4683360;8;166
1365;Monte Taxugueiras;536549;4682326;8;164
1319;Monte Vixiador;528268;4678040;5;162
1303;Serra de Prado;525754;4662168;1;160
1264;Monte Penide;530120;4679488;5;160
1292;Monte Penide;530371;4679933;5;159
1340;San Cosme;527130;4666720;3;153
1294;Monte Penide;530413;4679812;5;150
1345;Fonte da Pegada;526273;4665172;3;149
1356;Alveadosa;536451;4682934;8;144
1313;Monte Vixiador;527575;4677728;5;144
1304;Cotogrande;529291;4674072;6;142
1351;Os Bermús;523880;4665220;2;141
1336;As Pereiras;527404;4669521;3;132
2117;Couto Vello;531920;4664240;4;129
1341;San Cosme;526990;4666500;3;124
1311;Monte Vixiador;528981;4677790;5;122
1270;Monte Penide;530111;4679671;5;119
1306;Cotogrande;529462;4674143;6;119
1330;A Pereira;527732;4671702;3;115
1551;Monte Aloia;526090;4659422;1;113
1297;Chan de Prado;524622;4661748;1;110
1300;A Roza;525917;4660698;1;104
1295;Chan de Prado;524863;4662117;1;100
1363;Monte de Espiñeiro;536095;4685103;8;91
1276;Monte Penide;530208;4679643;5;89
2101;Teixugueira;529436;4680560;5;86
1357;Alveadosa;536452;4682999;8;84
1288;Monte Penide;530052;4678840;5;83
1370;Portela de Valhongo;536558;4680250;8;82
1274;Monte Penide;530180;4679536;5;80
1548;O Queimado;529071;4678740;5;72
1552;Monte Aloia;526112;4659480;1;71
1350;A Paxase;523350;4667591;3;71
1290;Monte Penide;529388;4680490;5;70
1355;Alveadosa;536499;4682912;8;68
1281;Monte Penide;530280;4679883;5;61
1299;Chan de Prado;524660;4662250;1;60
1280;Monte Penide;530241;4679676;5;56
1291;Monte Penide;529110;4681030;5;51
1361;Galla de Mozón;536430;4684960;8;48
1337;As Pereiras;527125;4668987;3;44
1352;Os Bermús;523892;4665211;2;42
1298;Chan de Prado;524698;4661712;1;39
1329;As Aradas;527860;4672395;3;39
1349;As Xunqueiras;526288;4669118;3;38
1348;As Xunqueiras;526230;4669001;3;35
1333;As Pereiras;527449;4669648;3;34
2107;Coto de Cepeda;535466;4680651;8;33
1282;Monte Penide;530292;4679901;5;28
1342;Fonte da Pegada;526321;4665133;3;25
1353;Os Bermús;523891;4665166;2;23
1553;As Madorras;528767;4663556;0;23
1293;Monte Penide;530388;4679861;5;21
1277;Monte Penide;530214;4679623;5;17
2119;Chan da Carreira;527030;4665490;3;16
2120;Chan da Carreira;526773;4665518;3;16
1343;Fonte da Pegada;526330;4665158;3;16
1354;Alveadosa;536540;4683003;8;15
1266;Monte Penide;530121;4679552;5;15
1286;Monte Penide;530077;4679353;5;14
1302;Monte Medoña;523218;4662015;1;0
1332;As Pereiras;527530;4669778;3;0
1335;As Pereiras;527370;4669427;3;0
1344;Fonte da Pegada;526592;4665356;3;0
2121;Dolmen de Herville;526563;4665795;3;0
1358;Rego Novo;536590;4683415;8;0
1360;Pedroso;536570;4683791;8;0
1367;Monte Taxugueiras;536268;4682068;8;0
2118;Couto Vello;531880;4663980;4;0
1273;Monte Penide;530039;4679583;5;0
1275;Monte Penide;530168;4679628;5;0
1278;Monte Penide;530250;4679610;5;0
1279;Monte Penide;530270;4679662;5;0
1283;Monte Penide;530179;4679816;5;0
1284;Monte Penide;530124;4679403;5;0
1285;Monte Penide;530060;4679348;5;0
1287;Monte Penide;530102;4679163;5;0
1328;Monte Cabeiro;529675;4677900;5;0
1546;O Queimado;529020;4678490;5;0
1307;Cotogrande;529892;4674295;6;0
1308;Cotogrande;529900;4674351;6;0
1314;Monte Vixiador;527613;4677849;5;0
1315;Monte Vixiador;527660;4677871;5;0
1316;Monte Vixiador;527448;4667516;3;0
1317;Monte Vixiador;527442;4677561;5;0
1318;Monte Vixiador;527060;4677241;5;0
1339;San Cosme;527064;4667663;3;0
